"p","eA","eL","ed","eD","kA","kL","kd","kD"
0,0.242471667609515,0.547930786918766,1.37339354244952,1.19302232489648,28.0482105473782,28.5718560716038,33.0657918559454,33.9074210454932
0.01,0.242471667609515,0.54876109821915,1.41177087769925,1.17852579793879,28.0530532180237,28.5784862006998,33.070612894949,33.9265210325647
0.02,0.242471667609515,0.551162425083387,1.52276116592123,1.19869365362868,28.0695082117721,28.6003092423764,33.0850273145961,33.9766492271041
0.03,0.242501580697365,0.552114179645702,1.5666476822742,1.10244300184302,28.078216735979,28.6129717264219,33.091601458692,33.7014289343923
0.04,0.242424886349988,0.552733392129969,1.61599780927738,1.2744564200391,28.0865825402804,28.6251987273423,33.0983216948788,34.4490412257204
0.05,0.242348128625442,0.553418466667231,1.65925558618123,1.37130324513263,28.0948231465455,28.6364425979145,33.1046036547926,34.7702915345631
0.06,0.242199057740284,0.554569283519626,1.71022164191701,1.5162318288255,28.1086935293181,28.6554488696395,33.1087429307048,35.3552346933105
0.07,0.242498188618784,0.555623861326286,1.75791947359713,1.52358533644038,28.1182804163598,28.6688246905977,33.11570665371,35.8217645731409
0.08,0.242514572064308,0.556540401503191,1.8007312414155,1.59171095766273,28.1301686548172,28.6850002089945,33.1224268898969,36.0225105562513
0.09,0.242514572064308,0.55704184015026,1.82390654653712,1.59321014655108,28.1373464369088,28.6956276903533,33.1259331000813,36.0783270134409
0.1,0.242574398240008,0.5573578724867,1.83930264669988,1.65101013894157,28.1459835614599,28.7078788822599,33.126420073718,36.2110165194377
0.11,0.242590781685532,0.557587372026404,1.85028751122046,1.60656386665019,28.1529928850289,28.7174638063586,33.1267122579001,35.9751868192882
0.12,0.242590781685532,0.558172135793577,1.87827776781753,1.58633628379726,28.1615705434994,28.7299131738955,33.1276375078099,36.2376568311191
0.13,0.2425753929299,0.55874917041417,1.90813521633416,1.6273907168113,28.1711460412249,28.7430938223579,33.1315332969037,36.4355853314341
0.14,0.242733820300153,0.559988003047127,1.95380602162845,1.64725127342802,28.1857811307976,28.7638756129917,33.1358673622706,36.6058873131378
0.15,0.242894487922242,0.560319875604804,1.97339666464123,1.70561096006838,28.193841802085,28.7749159266776,33.1389839935456,36.6934054374974
0.16,0.242744922482993,0.5606620984272,1.99008644248414,1.70598069935249,28.2017664059746,28.7866526367325,33.1410292828199,36.7993719271111
0.17,0.243043806389315,0.560837155767898,2.00520835841046,1.65344909240029,28.2067292887779,28.7931554555927,33.1418571380023,36.661325715631
0.18,0.242967359014116,0.560803316258628,2.01673880234286,1.6432440124896,28.2117253003676,28.8005050585487,33.1435615457309,36.6487639681709
0.19,0.243116677481189,0.560975289184383,2.02642057563419,1.66046392408757,28.2163838704115,28.8065918674352,33.144292006186,36.7257873578654
0.2,0.243116677481189,0.561086501732973,2.031710735569,1.70511381255086,28.224448749349,28.8181336751455,33.1451685587321,36.7915679113322
0.21,0.243116677481189,0.561262792657668,2.0408943801523,1.73363777700831,28.2324042336945,28.8290687469144,33.1469216638243,36.8794705336318
