"p","eA","eL","ed","eD","kA","kL","kd","kD"
0.23,0.243180985100352,0.561362450554237,2.04278068110111,1.77077784539855,28.2345428944838,28.835958538908,33.1477495190067,36.772665639101
0.24,0.243180985100352,0.561463849544404,2.04816874581738,1.66343604487741,28.2382307430729,28.8415197888548,33.149502624099,36.525353488526
0.25,0.243360463627452,0.561562693789027,2.05627991185577,1.74245848749931,28.2406813964802,28.8452931699753,33.1503791766451,36.7911435298944
0.26,0.243360463627452,0.561735812454584,2.06583284087121,1.64514428698688,28.2459661321559,28.8542422489533,33.1489182557349,36.4805043086453
0.27,0.243406262763591,0.561836876629314,2.07896557022907,1.6865308177033,28.2557880783824,28.8682302875415,33.1489182557349,36.7719779665529
0.28,0.243406262763591,0.561953604466823,2.08435995269313,1.72175220660821,28.2629309129764,28.8786240000323,33.1506713608271,36.7721504157475
0.29,0.243392000334568,0.562264790227229,2.11290319652205,1.71569310437397,28.2687648650813,28.8865988278312,33.1518400975552,36.793480896903
0.3,0.243392000334568,0.562264283408232,2.11111477712639,1.7214558768929,28.2724604231877,28.891810024095,33.1533010184654,36.7363366208704
0.31,0.24348494059761,0.56307305660842,2.13248387351049,1.75920872720527,28.2831539109466,28.9071156423034,33.1550541235576,37.0072082350773
0.32,0.24348494059761,0.563331464588976,2.1465001940147,1.81557196001303,28.2908276525911,28.9185643495432,33.1553463077397,37.1553166862633
0.33,0.243448334311054,0.563461422191346,2.15214307609359,1.80515516868088,28.2976466369577,28.9293317905845,33.1559306761038,37.2393549667323
0.34,0.243448334311054,0.563626582403247,2.16035775208952,1.83069497942879,28.303459748094,28.9386481873374,33.1562228602858,37.2457139549949
0.35,0.243448334311054,0.563730820779577,2.16517603675205,1.7378132095861,28.3111947402325,28.9501210319585,33.1565150444678,36.8190354179374
0.36,0.243448334311054,0.563718214554071,2.16459357340515,1.7211169216942,28.3169454569837,28.9587714377329,33.1559306761038,36.8363028590086
0.37,0.243448334311054,0.563731061312695,2.16464115615656,1.69749651471914,28.3239113354507,28.96958003471,33.1562228602858,36.9481984283527
0.38,0.243448334311054,0.563871605926538,2.17168423976029,1.75082984805247,28.3294903184215,28.9773967494099,33.1553463077397,36.9662237266085
0.39,0.243448334311054,0.564019725781239,2.18830029109706,1.72367685520549,28.3437663657491,28.9976394381936,33.1582681495601,37.0914518300595
0.4,0.243350033637908,0.564483485427766,2.20670424831566,1.74073269122434,28.350857172326,29.0089250626943,33.1588525179241,36.9830739670912
0.41,0.243350033637908,0.564321482508561,2.2052609666649,1.68982055859945,28.3564629146868,29.0172956015259,33.1608978071984,36.9339291525016
0.42,0.243448334311054,0.564204158470288,2.21491303963139,1.74411767863686,28.3608365786501,29.0245930859133,33.1606056230164,37.2647192360405
0.43,0.243448334311054,0.564215566104411,2.21578647025798,1.70186283051519,28.3631730213072,29.0273843899525,33.1632352806547,37.0628533814958
0.44,0.243448334311054,0.564356567387839,2.22230061094255,1.75109775362453,28.3691753506641,29.0358637159432,33.1641118332008,36.9500037469532
0.45,0.243423385582782,0.564200067206553,2.23985041136915,1.73240802204507,28.3780336218579,29.0482364808058,33.165572754111,37.2458554463261
0.46,0.243490301007713,0.564062847938092,2.25587193508159,1.78337124270704,28.3818065294046,29.0536038862704,33.1661571224751,37.4496527283914
0.47,0.243490301007713,0.564102468754649,2.25693464744446,1.74050441927306,28.3829210158519,29.0559948962709,33.165864938293,37.282409274259
0.48,0.243490301007713,0.564113244887887,2.25807316236648,1.79382955713529,28.3861007377735,29.0607738403088,33.165864938293,37.417218596847
0.49,0.243669779534813,0.56396235576395,2.25917434294319,1.83524163655247,28.3891306585337,29.0652595283163,33.1673258592032,37.5512673137447
0.5,0.243669779534813,0.563927572439529,2.25624847938525,1.83091655711057,28.3945384353435,29.0731166783501,33.1687867801134,37.4609393402384
0.51,0.243669779534813,0.563909544804144,2.26129496580966,1.78445473341306,28.3987476308499,29.0794407400622,33.1679102275673,37.4418633188446
0.52,0.243669779534813,0.564179354962522,2.26875146541009,1.81607033113928,28.4035697212967,29.0869761217936,33.1676180433852,37.4645719283876
0.53,0.243623980398674,0.564322028275547,2.27797636791911,1.7584426948383,28.4095988871012,29.0966824979714,33.1673258592032,37.3470354271917
0.54,0.243525679725528,0.564489962795876,2.2786832297906,1.76601811771311,28.4133223969371,29.1026730152413,33.1673258592032,37.3757940915653
0.55,0.243427379052383,0.56468272676493,2.28256448326326,1.84273009876828,28.4133601804387,29.1028492021167,33.1687867801134,37.4803331492901
0.56,0.243427379052383,0.56485919243265,2.29465496152086,1.82364698441955,28.4168966150248,29.1080592836567,33.1673258592032,37.5244884804763
0.57,0.243360765955344,0.565100686477873,2.29848100486734,1.76949334907574,28.4247325301733,29.1213824704181,33.1676180433852,37.2554121581556
0.58,0.243360765955344,0.56506896694608,2.29694655410604,1.72127744248921,28.4268408486584,29.1247977796085,33.1679102275673,37.1868106478414
0.59,0.243427379052383,0.564764545180063,2.30341074320294,1.75659190592866,28.4321696946584,29.1330904667947,33.1679102275673,37.0916227532869
0.6,0.243427379052383,0.564708935022089,2.30735284700329,1.78278784767797,28.433155512759,29.1346382262413,33.1679102275673,37.1091535449926
0.61,0.243427379052383,0.564664918956638,2.30481653282393,1.80809815815749,28.4361594823465,29.1387125860718,33.1673258592032,37.2183467370262
0.62,0.243427379052383,0.564785597781345,2.31134220246858,1.8508781362631,28.439713457079,29.1459569471659,33.165572754111,37.4307527018513
0.63,0.243293850530413,0.565102318903115,2.31184010597948,1.83783683425873,28.4462057339796,29.1557613881499,33.1644040173828,37.3820560255341
0.64,0.243360765955344,0.564898302622694,2.30977880738014,1.76783240492735,28.4491255924952,29.1595405021413,33.1632352806547,37.2403744410868
0.65,0.243293850530413,0.565114171972805,2.31273340066457,1.77869822682852,28.4501995181794,29.1619623265554,33.1608978071984,37.1787607633776
0.66,0.243293850530413,0.56526820573729,2.31991154199985,1.8086703625896,28.4537055175571,29.1674514301318,33.1620665439265,37.3779518639956
0.67,0.243293850530413,0.565265182933878,2.31971694793258,1.77263890470751,28.4538961683737,29.1696523768946,33.1611899913804,37.3428537172523
0.68,0.243195849174208,0.565464428292008,2.32221666977046,1.78191706700508,28.4584002780435,29.1766594287477,33.1638196490188,37.3963046808261
0.69,0.243195849174208,0.565422933711171,2.32748716749866,1.80852085011111,28.4588449189151,29.177199671808,33.1664493066571,37.3535058791136
0.7,0.243293850530413,0.565294473009311,2.32869207469844,1.8054752183304,28.4600999790921,29.1794453862866,33.1676180433852,37.3356385615412
0.71,0.243293850530413,0.565330280678488,2.32965939844124,1.77379125828142,28.4628723402522,29.1848657842485,33.1673258592032,37.319385029417
0.72,0.243201817313561,0.564978342451734,2.33164547445067,1.79238457619432,28.4652520723242,29.1883806137224,33.1682024117493,37.3685193678931
0.73,0.243201817313561,0.564966015113335,2.33079530025268,1.79258306610285,28.4653826221477,29.1899525296881,33.1684945959313,37.2355680012543
0.74,0.243300117986707,0.564885931161878,2.33385393317059,1.81857694284803,28.4662887115368,29.1916143018212,33.1667414908391,37.0108210054205
0.75,0.243300117986707,0.565004954558032,2.33375474260015,1.84678439311796,28.4683205512886,29.194962075809,33.1693711484775,37.330731022294
0.76,0.243300117986707,0.564963132960663,2.33737948818495,1.84385358338793,28.4707956737557,29.1993647743936,33.1702477010236,37.3107082913557
0.77,0.243201817313561,0.56522002798025,2.34359652930202,1.8290614948354,28.4736536545815,29.2038276724551,33.1690789642954,37.4194604142011
0.78,0.243201817313561,0.565259406011287,2.35093696056317,1.85678684779525,28.4767443394858,29.209556538246,33.1708320693876,37.301547297377
0.79,0.243201817313561,0.565266809112151,2.34941309082882,1.81202631591659,28.4762203863712,29.2085439730375,33.1708320693876,37.2676701628004
0.8,0.243201817313561,0.565199129242718,2.34579071784763,1.81596239252945,28.4774447966684,29.2107643948622,33.1696633326595,37.2970030451026
0.81,0.243201817313561,0.565187577200834,2.3583795839395,1.81434176415487,28.4812428271601,29.2176360210567,33.1705398852056,37.231807722801
0.82,0.243293850530413,0.565675683232063,2.35747446124243,1.77343637960913,28.4851823078775,29.2240815401707,33.1696633326595,37.1521898130008
0.83,0.243293850530413,0.565844673783252,2.35871064509797,1.82939165804954,28.4847742897693,29.2246221325879,33.1705398852056,37.2387999432282
0.84,0.243299741870493,0.565369806266814,2.36320201540372,1.80435537802652,28.4843185736455,29.2242158137851,33.1720008061158,37.2230088802567
0.85,0.243299741870493,0.565391672021999,2.36412025134743,1.8531191944646,28.4872493669425,29.2286657953872,33.1722929902978,37.4884978231379
0.86,0.243398042543639,0.565185043690622,2.37450017643562,1.82889045883164,28.4901988272335,29.2340196310611,33.1714164377517,37.4592389678703
0.87,0.24346495796857,0.565114969496379,2.37261400783375,1.82199701021812,28.4916635146688,29.2370036571665,33.1702477010236,37.3740568172615
0.88,0.24346495796857,0.565369108697322,2.38245663155765,1.76473155545473,28.4954992506508,29.2420429512527,33.1702477010236,37.4837949326953
0.89,0.24360768165147,0.564973363985008,2.38062912423614,1.85351475185015,28.4955535569283,29.2429639347555,33.1711242535697,37.52559175416
0.9,0.243554873935056,0.565073080597994,2.38809006991865,1.82956614841645,28.4970039041577,29.2454520957301,33.1714164377517,37.6023782951942
0.91,0.243524564796682,0.565347034557918,2.39294841464398,1.84000901087013,28.5009798970615,29.250980153555,33.1702477010236,37.6147998770145
0.92,0.24343223226289,0.564857625610774,2.39603744524277,1.86926150958985,28.5011681084056,29.2507682217072,33.1711242535697,37.6598236458428
0.93,0.243530532936035,0.564525754571818,2.39349976603404,1.86370687606778,28.5035348653086,29.2545176287951,33.1705873367736,37.6423428168219
0.94,0.243597146033074,0.564262375714657,2.39817514583823,1.84941644336628,28.503345994403,29.2538623888042,33.1708795209557,37.6151369758409
0.95,0.243551041495576,0.564316858817629,2.40278538202264,1.82390748327095,28.5057091132078,29.2586881667992,33.1711715419063,37.5033926271627
0.96,0.243551041495576,0.564242721007442,2.40539890673313,1.86188686113709,28.5069905083381,29.2614255078764,33.1711715419063,37.6266501862311
0.97,0.243484428398538,0.564261125522676,2.40613787502449,1.83331600470718,28.5101881445253,29.2667609646624,33.1714637260883,37.5621354827627
0.98,0.243417512973607,0.564374966825251,2.40827087883903,1.83327853958968,28.513247785645,29.2712546088759,33.1723404418658,37.4994983338363
0.99,0.243417512973607,0.564245981978404,2.40383283385899,1.8111449089194,28.5174772175481,29.2781205117973,33.1720482576838,37.2716139216366
1,0.243377988156228,0.563894108194156,2.40183238319103,1.81650091373553,28.5158685815643,29.2768778964491,33.1735090153626,37.4644708028974
