"p","eA","eL","ed","eD","kA","kL","kd","kD"
0,0.242292189082415,0.545283152838784,1.25162916738782,0.699842839886239,28.0370658961205,28.5563661229281,33.0542505807549,31.3956542920082
0.01,0.242337386905335,0.547596306994612,1.35935423684067,1.13475469056771,28.0475799374833,28.5706709780423,33.0642432797806,33.6142739656659
0.02,0.242431298675729,0.550841209270416,1.51195989576656,1.20902823619241,28.0689139736868,28.6000690095453,33.0827531477126,34.1420530675939
0.03,0.24250308791953,0.55408652958681,1.66912199452605,1.35308881336302,28.1012636531746,28.6448539062652,33.1031329944097,34.8936256370169
0.04,0.242638448770228,0.556855386152865,1.80684307301057,1.5927945702278,28.1376150049554,28.6953138192466,33.1210584939777,35.9243718712088
0.05,0.242794811112984,0.559390732371331,1.93916881261243,1.65941076054274,28.1838229178371,28.7604510588579,33.1373712950688,36.3589502386796
0.06,0.242882912332031,0.561234142919209,2.03967816359651,1.71886587911372,28.2330399488057,28.8308068943879,33.148109903747,36.670797419108
0.07,0.243058662982056,0.56238446189669,2.11342607990232,1.72971544873152,28.2827715974119,28.902713315188,33.1551233041023,36.7911419654054
0.08,0.243103002430037,0.563264705039218,2.18103273334137,1.75729277481838,28.331712757566,28.9752041712209,33.1603474028325,37.0294815482284
0.09,0.243199413524321,0.563493560720635,2.23179322890498,1.77306178289151,28.3774383466818,29.0442623261775,33.1628892658008,37.1786277702177
0.1,0.243212812790936,0.563790622077078,2.27282050251761,1.79637897270005,28.4211881707227,29.1113402927822,33.1648734673073,37.2875916991377
0.11,0.243178417707051,0.563909867828079,2.31490723444015,1.8032916415019,28.4603939917656,29.1743184125534,33.1671545552783,37.3557455345731
0.12,0.243257834035557,0.563640338213412,2.35097675000647,1.84498422440942,28.4930024609842,29.2281578681933,33.168617425249,37.549143068602
0.13,0.243238437938171,0.563404731658716,2.37993889542447,1.85503109729286,28.5212863467954,29.2777715953835,33.1700403491924,37.5660306469447
0.14,0.243169443317973,0.562982546506524,2.40600518012764,1.85202665158106,28.5432123538818,29.3192918117036,33.1720900356443,37.5947845500964
0.15,0.24327095717871,0.562213434117607,2.42995779742253,1.87405688512981,28.5586592846021,29.3521887392458,33.1730608039654,37.7132916089631
0.16,0.243206336036465,0.561736739065848,2.45365496666461,1.87129419236873,28.5727898539071,29.3842356675097,33.1745682457821,37.6803867234731
0.17,0.243169181267423,0.561279088071086,2.47477744994316,1.89811592867261,28.582650416327,29.4089031952151,33.1753313445626,37.8009554790305
0.18,0.243163280412048,0.560209562168467,2.4944745329068,1.89045046993776,28.5875859704611,29.4270396835253,33.1744160410572,37.7036448811075
0.19,0.243078555861355,0.559409108648268,2.51403258492162,1.90862964420409,28.5903124724661,29.440403233703,33.1745489806608,37.7989161777764
0.2,0.242956160249675,0.558807561120071,2.52622138488068,1.88432785359174,28.5932802972485,29.4545080011045,33.1722171795995,37.7005207152462
0.21,0.242971975102538,0.5578327499459,2.53576374537044,1.89462770193357,28.592044895966,29.461040296556,33.1721048008229,37.615269573535
0.22,0.243233823833057,0.556862654855506,2.5449249916997,1.87439204067044,28.5873522273029,29.4632944858594,33.1722359512046,37.6254383234334
0.23,0.243230914358095,0.55588497710344,2.55287954608588,1.87706571934711,28.5821789186191,29.4620048179516,33.1718537384708,37.6163421350287
0.24,0.243270260277967,0.555064078763891,2.55899034114781,1.85963953767837,28.5776901013974,29.4590699218753,33.1726977239774,37.5247279388334
0.25,0.243364334132587,0.554059908604916,2.56326550008004,1.85947145625712,28.5726074485454,29.4566101100642,33.173894259032,37.480566442604
0.26,0.243314102174651,0.55244978753265,2.56493029316272,1.84872795294981,28.5650599936763,29.4483928089776,33.1735528806885,37.4344330586817
0.27,0.243313404986069,0.551943414111691,2.56838402600441,1.85432659362698,28.5613422068455,29.4459094722671,33.1754715105851,37.5013842284201
0.28,0.243298009914672,0.551267869997476,2.57205824918818,1.8401066309675,28.5563258004545,29.4431822310882,33.1807304080399,37.417535347842
0.29,0.24330531975221,0.550625399523522,2.56759544793922,1.83137758966583,28.5505067574345,29.4367458009787,33.183943810622,37.3334736085895
0.3,0.243372144329777,0.549809276305802,2.56585800261683,1.82342523589547,28.5442299536755,29.4314118847145,33.1823602975403,37.360304439228
0.31,0.243488135150956,0.548981989608699,2.563581616071,1.81201775774509,28.535777079159,29.4206398735453,33.1941624360533,37.2934828677749
0.32,0.243381689184749,0.548242092515559,2.56072678964408,1.80014509120321,28.5304990692937,29.4137072994519,33.1933045722245,37.2040086767655
0.33,0.243401461003885,0.547051547727569,2.55641297837146,1.7887514195211,28.5235079584791,29.4051477838614,33.1962234604451,37.1782365079956
0.34,0.243340735559422,0.545968504015648,2.5485159220963,1.76057833026231,28.5137007466671,29.3934383574901,33.2060423722253,37.0895529678853
0.35,0.24329884957733,0.545361414947694,2.550168254236,1.74895424131294,28.5083065089568,29.3866598314457,33.212301540679,37.025775203871
0.36,0.243255414574351,0.545138584721157,2.54463851537575,1.73407099392327,28.5019173990227,29.3801418677134,33.2227637511278,36.9896762608352
0.37,0.243332961128195,0.544722091772648,2.53842890993929,1.72243692731203,28.4937741209415,29.3705119145219,33.2216875166048,36.8981188274397
0.38,0.243196761871901,0.54334497727724,2.5310909300805,1.69337584421348,28.4871005486355,29.3605163829669,33.2296139608298,36.8397404687478
0.39,0.243234528319972,0.54294163119086,2.52449529397774,1.66959461473178,28.4823916877585,29.3548065826933,33.23486900223,36.746866642554
0.4,0.24312462551997,0.541685198102956,2.52182125079976,1.65366639456745,28.4729530284195,29.3428613757136,33.2246919336811,36.6206962379006
0.41,0.243189310846,0.541815127259419,2.51563848101496,1.6329388241341,28.4677676133154,29.337198398764,33.2393879159989,36.5157546601011
0.42,0.243201466488581,0.541202630902967,2.51689666774926,1.61868378394424,28.4593216341154,29.3252946294606,33.2377697255257,36.4774933394949
0.43,0.243228174519368,0.540628655574287,2.50229066797341,1.59147995527788,28.4539241097864,29.319679339997,33.2438647400704,36.4029357287549
0.44,0.243159396110155,0.540373712965338,2.500467344531,1.58422271063095,28.4503451991373,29.3155139997818,33.251195232165,36.3527909772254
0.45,0.243073193527922,0.539471262444775,2.49158383651937,1.55995151169765,28.4424303988838,29.305972274982,33.2446870256242,36.2453024281498
0.46,0.242852633125099,0.538040042998832,2.48874655361689,1.556432236487,28.4322052900179,29.2917453196968,33.2425529792851,36.188826178583
0.47,0.242592568931056,0.535866578240839,2.49246974947472,1.54462100148184,28.4200015921926,29.2727096919025,33.2434686533414,36.0801673559996
