"i","entropy.s_am...1..","entropy.s_im...1..","entropy.s_lap...1..","mean.unlist.local_complexity.s_am..span...10....na.rm...TRUE.","mean.unlist.local_complexity.s_im..span...10....na.rm...TRUE.","mean.unlist.local_complexity.s_lap..span...10....na.rm...TRUE.","model"
1,0.154493911136985,0.134029796168036,0.38349578961015,28.0503435533284,27.8119348674696,28.6949247056679,"random.network"
2,0.10627369308466,0.141440542541821,0.271613736107196,27.7667686891412,27.8961436655893,28.2516283302227,"random.network"
3,0.267284678982669,0.146094250120136,0.617565654281891,28.8110681430459,27.8266849894506,29.8155512357824,"random.network"
4,0.213801525349939,0.143726169939382,0.508679661670039,28.4375966546755,27.8448251246798,29.2904437881694,"random.network"
5,0.144400075704266,0.152406998923868,0.362146803925789,27.9827058730322,27.9270827103736,28.619171497236,"random.network"
6,0.235915692309901,0.149811367472748,0.557213088096712,28.5947648684159,27.8625266522586,29.5187828889464,"random.network"
7,0.208244976308224,0.141440542541821,0.496613820258137,28.4026625319262,27.8314725130157,29.2322073701049,"random.network"
8,0.157768182467985,0.153742180328762,0.396115516347879,28.0786483997837,27.938716766894,28.7819749327223,"random.network"
9,0.237635852412926,0.151096970517114,0.559899221839797,28.6056540649727,27.8580434747149,29.5510425799055,"random.network"
10,0.263129464824684,0.149811367472748,0.613206788374755,28.7639242226945,27.8527217879935,29.7815772883049,"random.network"
11,0.133868681552722,0.138157228562526,0.336458200514601,27.9308750375453,27.8396035690204,28.5201831779351,"random.network"
12,0.259306438290429,0.132065356474883,0.592452670730204,28.7419436742296,27.7551081293517,29.6963231899774,"random.network"
13,0.182282855594296,0.148549490430348,0.445798818611456,28.2255484942332,27.880913157735,28.9939613182855,"random.network"
14,0.264682421761273,0.143726169939382,0.609164951919864,28.7804875878415,27.8122170766786,29.7610466908175,"random.network"
15,0.279399448810163,0.142573330259899,0.638307092644949,28.9062497890013,27.8030552218458,29.9461232658206,"random.network"
16,0.124247619328041,0.141440542541821,0.314591011857481,27.8528103749087,27.8712544529754,28.4003062559948,"random.network"
17,0.269254241727813,0.143726169939382,0.618871180002784,28.8350626389989,27.8173083537553,29.8323905719789,"random.network"
18,0.113341788549489,0.137099478899818,0.292041868408709,27.8089314763245,27.8534737764449,28.3397563538008,"random.network"
19,0.193240673703177,0.137099478899818,0.465556272063032,28.2870466833894,27.8143409410304,29.0532128278191,"random.network"
20,0.236018987752493,0.136059286238775,0.548707290687538,28.5856237234404,27.789426113809,29.467551573954,"random.network"
21,0.279628917255343,0.135036202802128,0.631783625764573,28.9029869230213,27.7694433002418,29.9323209518081,"random.network"
22,0.217743958929702,0.137099478899818,0.515011357692054,28.4575823183317,27.7936937119221,29.3193129395263,"random.network"
23,0.218629919889753,0.137099478899818,0.515504464139694,28.4835471774205,27.7905747962689,29.3407582799361,"random.network"
24,0.178669202057402,0.153742180328762,0.440325498628457,28.1937123527204,27.929802237093,28.9457423467511,"random.network"
25,0.203634300960594,0.138157228562526,0.488665663629761,28.3801762900293,27.8305708177952,29.208217134161,"random.network"
26,0.239459473768753,0.142573330259899,0.560458972063329,28.5986199940881,27.8190616206897,29.5147710015181,"random.network"
27,0.28709375059592,0.132065356474883,0.642061513944611,28.9757066794494,27.7417287522481,30.0208229274241,"random.network"
28,0.13585865614638,0.153742180328762,0.342575739952736,27.9419579665873,27.9557126803365,28.5456938838565,"random.network"
29,0.0757765448701925,0.149811367472748,0.202956108460938,27.5984659986075,27.981900326866,27.9793781010432,"random.network"
30,0.157987326657089,0.146094250120136,0.392472960135216,28.0792030022849,27.8937691472018,28.7791242531664,"random.network"
31,0.109258709060681,0.142573330259899,0.281882647816521,27.7873345627105,27.9069949533997,28.3020854959146,"random.network"
32,0.247672618276077,0.136059286238775,0.573113687415186,28.6845337768971,27.7878945848312,29.6210354172256,"random.network"
33,0.177331809056963,0.143726169939382,0.434450083699858,28.1875573348119,27.865026686916,28.9388112530727,"random.network"
34,0.212916440749173,0.149811367472748,0.513025255150049,28.4254382490289,27.8775355542136,29.3056001877131,"random.network"
35,0.214193574339608,0.139232999055099,0.509151387665599,28.4262812991085,27.8113747780243,29.2636126199665,"random.network"
36,0.256820575280242,0.153742180328762,0.599086985751628,28.739921419225,27.8760167464084,29.7285272651153,"random.network"
