"p","eA","eL","ed","eD","kA","kL","kd","kD"
0.21,0.242923924268117,0.541860082544861,2.57334846547261,1.72759972688053,28.5131675017587,29.3365535656455,33.2133751680255,36.7889331657169
0.22,0.242662074741698,0.538315668000001,2.5757180739178,1.70428390028243,28.496094770371,29.3155870574632,33.2252790799518,36.7229329615662
0.23,0.242086569785617,0.53282635445892,2.57912303628021,1.67751851244038,28.4705953956492,29.2779341758702,33.2374860806862,36.4868624031098
0.24,0.241230997665796,0.526294279244686,2.57430145503984,1.63029582990252,28.4396418473589,29.2310102967549,33.2560548458859,36.3147321376582
0.25,0.240105459129051,0.519395671929694,2.58439238048889,1.59494074611028,28.4057507817533,29.1775703516986,33.2771975852938,36.1301282826496
0.26,0.238722885117525,0.511696022968689,2.5783281196386,1.54229187539531,28.3667874204359,29.1164746306863,33.2865449054667,35.8217946452973
0.27,0.23680869729623,0.503064822198799,2.5781530561531,1.49670755240714,28.3257798122829,29.0513110765304,33.2948641735955,35.5595618216677
0.28,0.23397282254677,0.49228458904363,2.57455620081845,1.44305631868983,28.2817665204598,28.9800768673711,33.303408306811,35.2250441374345
0.29,0.230187425999271,0.479636333607141,2.58008251293729,1.37032445746647,28.2284628807503,28.8951874848995,33.3120772358976,34.8745112313891
0.3,0.225300486346702,0.464482722604448,2.58007396084324,1.32513157398416,28.1713948090013,28.8017457297212,33.3245470621888,34.4791688525102
0.31,0.219037463020155,0.44729775823147,2.57983238734331,1.25373439671642,28.1101994497736,28.7017791841778,33.315293043468,34.1432585919434
0.32,0.211555876528865,0.427930915758458,2.57824077906875,1.17873533702577,28.0456476412071,28.5966371075294,33.2979705804673,33.665098350673
0.33,0.202396739895051,0.40591157317267,2.57898267451005,1.10658107495598,27.9797274555031,28.4884144933896,33.2704399917934,33.2524356101732
0.34,0.192692502901452,0.383860946753733,2.5740346281928,1.03748522737218,27.9185193780933,28.3873726830345,33.2507007114656,32.7262944355127
0.35,0.181200599147119,0.358913133689517,2.56413883308799,0.970333359695483,27.8562065160211,28.2837767863969,33.1957741411103,32.2860784733273
0.36,0.16871208168086,0.332528491101717,2.55037694799121,0.882830987716995,27.7947049476087,28.1815701301804,33.1464562534189,31.8020938042924
0.37,0.155495324277212,0.305652788026943,2.5359416458651,0.809032420563116,27.7351367780737,28.0801525143939,33.0796143050912,31.2707483719451
0.38,0.142656143097412,0.279092429872976,2.52146790427125,0.731998989408015,27.6789412009666,27.9867763870409,33.027099521052,30.791479825774
0.39,0.128317552490408,0.250348805573128,2.48055875833527,0.656975890784134,27.6254447942597,27.8952046963823,32.9391060297775,30.339875605947
0.4,0.1152456502588,0.224463924179612,2.45649719865158,0.59193051741302,27.5781604549085,27.8147879079893,32.8192112963743,29.9529440931591
0.41,0.102497450954379,0.199171866457791,2.40284788935829,0.527758083701994,27.5349166211715,27.7412991345949,32.705598765773,29.5886734344218
0.42,0.089798401448147,0.174624283419219,2.36061544138425,0.468942262492027,27.4955185452108,27.6738787048746,32.5816384698047,29.2673913649675
0.43,0.0774605305777229,0.150620762934726,2.32070184851547,0.419151539479469,27.458731444835,27.609545575052,32.3975376360552,28.994616190055
0.44,0.0675970746263609,0.131820340663331,2.26847397446804,0.377442274937566,27.4312347602556,27.5607993260205,32.2388728386534,28.7674721824852
0.45,0.0570492954623472,0.111723242902916,2.20628010296656,0.336291727705427,27.4039675580366,27.5130998824675,32.0727386067351,28.5569074774765
0.46,0.0482718592720138,0.0944568893676371,2.13990809762225,0.301760627222721,27.3808026928961,27.4719681821733,31.8581131436607,28.4004647766701
0.47,0.0416202814162038,0.0813351699389218,2.04831245172584,0.267536954255903,27.3642658896396,27.4422408553169,31.6385433522696,28.2420820269194
0.48,0.0356001053303785,0.0692212172314104,1.96407364264147,0.240544701343853,27.3500256553983,27.4158979521277,31.4559746714134,28.1216577004205
0.49,0.0304143197515466,0.0590527453457769,1.88383105659529,0.220208517218747,27.3382516363856,27.3941187026067,31.2120674576542,28.0249929283386
0.5,0.0260209442333324,0.0498348807457117,1.78214194745058,0.203553627001907,27.3279932959263,27.3742772443598,30.9660298646117,27.9489787406843
0.51,0.0219323663643998,0.041441702590121,1.66778435072796,0.187229806705483,27.3183909897618,27.3565817072289,30.6409535673907,27.876505986415
0.52,0.0182561516327976,0.0337312517617683,1.52656952034839,0.175556318966256,27.3104130972563,27.3412286708645,30.2861226580455,27.8246132828915
0.53,0.0157029631019473,0.0279246441951638,1.3696531346319,0.161578353562205,27.3048294094918,27.3301427942711,29.9895751912322,27.7628452909458
0.54,0.0133097058332798,0.022938782793508,1.17951294833519,0.150700971588441,27.3002531885027,27.3211629555671,29.6196104995683,27.7203329654084
0.55,0.0114609449841734,0.0188593035723804,1.07514737634206,0.142145550975222,27.2962807952658,27.3135685064629,29.345871673764,27.6832556679251
0.56,0.00928309129531221,0.014447079918512,0.874066336425008,0.131063593881306,27.2921277501851,27.3057432312022,28.9107525058181,27.6403031766146
0.57,0.00784718235891271,0.011684550356681,0.730036158000464,0.123627371407075,27.2897803883136,27.3014074693939,28.6257901361747,27.609909534258
0.58,0.00648419532612207,0.00931753894626545,0.648857070599994,0.117298651502159,27.2878606242446,27.2980523219844,28.4120819778309,27.5858856244125
0.59,0.0059128335679598,0.00841747079976306,0.610031166630459,0.114708826421595,27.2870735885128,27.2968003143463,28.3223962695821,27.5748961673133
0.6,0.00506423101734062,0.00701807528747009,0.550505768651492,0.110506982765624,27.2859716118873,27.2949051417557,28.191836688363,27.5579331690982
0.61,0.00466259245035199,0.00642211394103793,0.502552744901057,0.108806140403795,27.2854469582927,27.2941043771329,28.1072833290802,27.5503294523555
